Parsing Domblout file
                                  target_name               desc             hmm_ID       E_value  Score
0     D1PA_S30C1_TRINITY_DN1771902_c7_g1_i1_3  1.A.11.TD000001.0  1.A.11.TD000001.0  9.600000e-32  102.6
1     D1PA_S30C1_TRINITY_DN1771902_c7_g1_i1_3  1.A.11.TD000002.0  1.A.11.TD000002.0  1.500000e-30   98.5
2     D1PA_S30C1_TRINITY_DN1771825_c1_g2_i1_3  1.A.46.TD000001.0  1.A.46.TD000001.0  4.100000e-17   54.6
3     D1PA_S30C1_TRINITY_DN1771965_c7_g2_i4_3  1.A.46.TD000001.0  1.A.46.TD000001.0  1.100000e-03   10.6
4     D1PA_S30C1_TRINITY_DN1771965_c7_g2_i4_3  3.A.31.TD000001.0  3.A.31.TD000001.0  1.100000e-17   56.7
5     D1PA_S30C1_TRINITY_DN1771826_c1_g5_i1_2   4.C.1.TD000001.0   4.C.1.TD000001.0  6.400000e-15   46.8
6     D1PA_S30C1_TRINITY_DN1771826_c1_g5_i1_2   4.C.1.TD000002.0   4.C.1.TD000002.0  4.400000e-11   34.2
7     D1PA_S30C1_TRINITY_DN1771955_c1_g2_i1_3   8.A.3.TD000001.0   8.A.3.TD000001.0  3.100000e-05   16.4
8     D1PA_S30C1_TRINITY_DN1771820_c5_g7_i1_2       2-Hacid_dh_C            PF02826  1.000000e-07   23.7
9     D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2             AAA_13            PF13166  2.500000e-06   18.7
10    D1PA_S30C1_TRINITY_DN1771767_c0_g2_i3_1                AAT            PF03417  3.900000e-09   28.6
11    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2       ABC_tran_CTD            PF16326  2.300000e-02    7.3
12    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2       ABC_tran_CTD            PF16326  2.300000e-02    7.3
13    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2       ABC_tran_CTD            PF16326  2.300000e-02    7.3
14    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               ADIP            PF11559  7.000000e-03    8.7
15    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               ADIP            PF11559  7.000000e-03    8.7
16    D1PA_S30C1_TRINITY_DN1771820_c5_g7_i1_2          AdoHcyase            PF05221  1.300000e-25   82.3
17    D1PA_S30C1_TRINITY_DN1771820_c5_g7_i1_2      AdoHcyase_NAD            PF00670  3.000000e-55  179.0
18    D1PA_S30C1_TRINITY_DN1771820_c5_g7_i1_2      AdoHcyase_NAD            PF00670  3.000000e-55  179.0
19    D1PA_S30C1_TRINITY_DN1728442_c5_g5_i2_2       Amidohydro_1            PF01979  4.600000e-10   31.5
20    D1PA_S30C1_TRINITY_DN1728442_c5_g5_i2_2       Amidohydro_3            PF07969  4.800000e-10   31.7
21    D1PA_S30C1_TRINITY_DN1771902_c7_g1_i1_3    Ammonium_transp            PF00909  5.100000e-29   93.3
22    D1PA_S30C1_TRINITY_DN1771826_c1_g5_i1_2        AMP-binding            PF00501  6.700000e-34  109.4
23    D1PA_S30C1_TRINITY_DN1771789_c7_g3_i1_2             APG6_N            PF17675  1.700000e-03   11.1
24    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2             APG6_N            PF17675  3.900000e-03   10.0
25    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2              ATG14            PF10186  5.500000e-02    4.7
26    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2              ATG16            PF08614  8.400000e-05   15.1
27    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2              ATG16            PF08614  8.400000e-05   15.1
28   D1PA_S30C1_TRINITY_DN1771935_c11_g1_i3_3         ATP-synt_C            PF00137  7.500000e-31   98.6
29   D1PA_S30C1_TRINITY_DN1771935_c11_g1_i3_3         ATP-synt_C            PF00137  7.500000e-31   98.6
30    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2    Ax_dynein_light            PF10211  7.300000e-02    5.2
31    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2    Ax_dynein_light            PF10211  7.300000e-02    5.2
32    D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2      B12-binding_2            PF02607  3.700000e-04   13.3
33    D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2      B12-binding_2            PF02607  3.700000e-04   13.3
34    D1PA_S30C1_TRINITY_DN1771789_c7_g3_i1_2       Bacillus_HBL            PF05791  2.600000e-05   16.4
35    D1PA_S30C1_TRINITY_DN1728413_c1_g1_i2_2         bCoV_Orf14            PF17635  6.700000e-04   12.7
36    D1PA_S30C1_TRINITY_DN1771825_c1_g2_i1_3         Bestrophin            PF01062  1.500000e-18   59.3
37    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               BRE1            PF08647  2.600000e-05   16.6
38    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               BRE1            PF08647  2.600000e-05   16.6
39    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2           CALCOCO1            PF07888  4.000000e-06   18.2
40    D1PA_S30C1_TRINITY_DN1771705_c4_g1_i1_1     Carboxyl_trans            PF01039  3.500000e-21   67.6
41    D1PA_S30C1_TRINITY_DN1771745_c3_g3_i2_3    Cation_ATPase_C            PF00689  2.800000e-13   42.2
42    D1PA_S30C1_TRINITY_DN1771745_c3_g3_i2_3    Cation_ATPase_C            PF00689  2.800000e-13   42.2
43    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2           CCDC-167            PF15188  2.400000e-02    7.3
44    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2           CCDC-167            PF15188  2.400000e-02    7.3
45    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2             CCDC22            PF05667  2.200000e-04   12.3
46    D1PA_S30C1_TRINITY_DN1771849_c0_g1_i2_3             CCDC53            PF10152  1.500000e-01    4.8
47    D1PA_S30C1_TRINITY_DN1771849_c0_g1_i2_3             CCDC53            PF10152  1.500000e-01    4.8
48    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2             CENP-H            PF05837  1.900000e-01    4.5
49    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2             CENP-H            PF05837  1.900000e-01    4.5
50    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2        Cep57_CLD_2            PF14197  1.900000e-03   10.6
51    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2        Cep57_CLD_2            PF14197  1.900000e-03   10.6
52    D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3              CEP63            PF17045  9.700000e-06   17.7
53    D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3              CEP63            PF17045  9.700000e-06   17.7
54    D1PA_S30C1_TRINITY_DN1771904_c0_g3_i1_1     Chloroa_b-bind            PF00504  1.200000e-13   44.1
55    D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3     Chordopox_A13L            PF05961  1.500000e-03   11.1
56    D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3     Chordopox_A13L            PF05961  1.500000e-03   11.1
57    D1PA_S30C1_TRINITY_DN1771752_c0_g4_i1_1                ChW            PF07538  6.200000e-04   12.0
58    D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3                CLZ            PF16526  2.600000e-04   13.7
59    D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3                CLZ            PF16526  2.600000e-04   13.7
60    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2                CLZ            PF16526  7.400000e-04   12.2
61    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2                CLZ            PF16526  7.400000e-04   12.2
62    D1PA_S30C1_TRINITY_DN1771981_c8_g2_i4_1        CoA_binding            PF02629  1.100000e-07   24.8
